code,name,direct,eagf,eafrd,sum
BE,Belgium,"522,64","610,1","57,9",668
BG,Bulgaria,"705,3","742,9","257,8","1000,7"
HR,Croatia,"179,7",190,"151,3","341,3"
CZ,Czech Republic,834,"861,8",344,"1205,8"
DK,Denmark,"852,2","876,6","118,1","994,7"
DE,Germany,"4875,1","5135,3","1142,1","6277,4"
EE,Estonia,"112,8","122,4","131,5","253,9"
EL,Greece,"2072,8","2157,4","731,5","2888,9"
ES,Spain,"5045,3","5650,6",904,"6554,6"
FR,France,"7093,2","7691,4","702,6",8394
IE,Ireland,"1208,7","1232,5",399,"1631,5"
IT,Italy,"3833,8","4494,4","980,7","5475,1"
CY,Cyprus,"49,7",58,"16,6","74,6"
LV,Latvia,"177,8","189,7","172,4","362,1"
LT,Lithuania,"409,8","440,4","276,2","716,6"
LU,Luxembourg,"33,2","34,5","11,6","46,1"
HU,Hungary,"1266,1","1321,3",343,"1664,3"
MT,Malta,5,"5,5",6,"11,5"
NL,Netherlands,"725,5","819,4",73,"892,4"
AT,Austria,"686,3","722,6",635,"1357,6"
PL,Poland,"3339,9","3603,2","1106,5","4709,7"
PT,Portugal,"645,9","760,2","748,3","1508,5"
RO,Romania,"1521,3","1568,4","1140,9","2709,3"
SI,Slovenia,"137,6","146,7","128,3",275
SK,Slovakia,"425,4","435,9",208,"643,9"
FI,Finland,"522,2","538,5","425,1","963,6"
SE,Sweden,"666,6",689,"248,1","937,1"
UK,United Kingdom,"3036,3","3122,5","846,2","3968,7"
EU-28,,"40984,1","44221,1","12305,7","56526,8"